numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
1,1.6719,0.0000,1.4062,209.10,0.00,175.88
2,0.7683,0.7684,0.8471,96.09,96.11,105.95
3,0.7839,0.7528,0.8627,98.05,94.15,107.89
4,0.7996,0.7528,0.8628,100.00,94.15,107.91
5,0.8152,0.7528,0.8629,101.95,94.15,107.92
6,0.8308,0.7528,0.8780,103.91,94.15,109.81
7,0.8464,0.7528,0.8781,105.86,94.15,109.82
8,0.8621,0.7528,0.8782,107.82,94.15,109.83
9,0.8777,0.7528,0.8783,109.77,94.15,109.85
10,0.8933,0.7528,0.8784,111.73,94.15,109.85
11,0.7686,0.6904,0.7222,96.12,86.35,90.32
12,0.7686,0.6904,0.7221,96.13,86.35,90.31
13,0.7687,0.6904,0.7221,96.14,86.35,90.31
14,0.7687,0.6904,0.7221,96.15,86.35,90.31
15,0.7688,0.6904,0.7221,96.15,86.35,90.31
16,0.7689,0.6904,0.7221,96.16,86.35,90.31
17,0.7689,0.6904,0.7221,96.17,86.35,90.31
18,0.7690,0.6904,0.7221,96.18,86.35,90.31
19,0.7690,0.6904,0.7221,96.18,86.35,90.31
20,0.7691,0.6904,0.7221,96.19,86.35,90.31
21,0.7842,0.6904,0.7221,98.08,86.35,90.31
22,0.7842,0.6904,0.7221,98.08,86.35,90.31
23,0.7843,0.6904,0.7221,98.09,86.35,90.31
24,0.7844,0.6904,0.7221,98.10,86.35,90.31
25,0.7844,0.6904,0.7221,98.11,86.35,90.31
26,0.7845,0.6904,0.7221,98.11,86.35,90.31
27,0.7845,0.6904,0.7221,98.12,86.35,90.31
28,0.7846,0.6904,0.7221,98.13,86.35,90.31
29,0.7847,0.6904,0.7221,98.14,86.35,90.31
30,0.7847,0.6904,0.7221,98.15,86.35,90.31
31,0.7998,0.6904,0.7221,100.03,86.35,90.31
32,0.7999,0.6904,0.7221,100.04,86.35,90.31
33,0.7999,0.6904,0.7221,100.05,86.35,90.31
34,0.8000,0.6904,0.7221,100.05,86.35,90.31
35,0.8000,0.6904,0.7222,100.06,86.35,90.32
36,0.8001,0.6904,0.7222,100.07,86.35,90.32
37,0.8002,0.6904,0.7222,100.08,86.35,90.32
38,0.8002,0.6904,0.7222,100.08,86.35,90.32
39,0.8003,0.6904,0.7222,100.09,86.35,90.32
40,0.8004,0.6904,0.7222,100.10,86.35,90.32
41,0.8154,0.6904,0.7222,101.98,86.35,90.32
42,0.8155,0.6904,0.7222,101.99,86.35,90.32
43,0.8156,0.6904,0.7222,102.00,86.35,90.32
44,0.8156,0.6904,0.7222,102.01,86.35,90.32
45,0.8157,0.6904,0.7222,102.02,86.35,90.32
46,0.8157,0.6904,0.7222,102.02,86.35,90.32
47,0.8158,0.6904,0.7222,102.03,86.35,90.32
48,0.8159,0.6904,0.7222,102.04,86.35,90.32
